ROADIE	Band hand
ROADTOSINGAPORE	Bob Hope film sponsored by a clothing chain
ROALD	Dahl who created Willy Wonka
ROAMS	Wanders
ROAN	Flecked steed
ROAR	Crowd response
ROAR	Crowd response
ROARED	More than tittered
ROARS	Hearty laughs
ROBE	Pajamas coverup
ROBIN	Marian's love
ROBOT	Assembly line worker
ROBOT	Man of steel
ROC	Arabian Nights menace
ROC	Bird of Arabian myth
ROC	Fabled flier
ROCKABYE	Lullaby starter
ROD	Piston connector
RODEO	Copland ballet
RODS	Fishing gear
RODS	Fishing poles
ROGER	Understood
ROGET	Man of many words
ROLF	Massage deeply
ROLFS	Uses massage therapy on
ROM	Hung. neighbor
ROMA	Citt  capitale dell'Italia
ROMANCINGTHESTENO	Sending flowers to a courtroom worker?
ROMANIA	Transylvanian Alps setting
ROMANS	The wages of sin is death source
ROME	Home to Caesar
ROME	Spanish Steps setting
ROMP	Easy victory
RON	Brother of Ginny Weasley
RON	Friend of Harry and Hermione
RON	Harry's pal at Hogwarts
RONCO	But wait, there's more! company
RONEE	Blakley of "Nashville"
ROO	Milne marsupial
ROO	Milne youngster
ROOD	Large cross
ROOKIE	Green man
ROOM	Suite spot
ROOMER	Paying guest
ROOMIE	Someone to split utilities with
ROONE	Longtime first name at ABC News
ROPER	See 117-Down
ROSA	Parks on a bus
ROSARY	Reverent recitation
ROSE	Token of love
ROSE	Valentine gift
ROSESARERED	Florid line
ROSESTEADILY	FLOWERS...
ROSH	Head, in Hebrew
ROSH	___ Hashanah
ROSS	Supreme leader
ROSS	The New Yorker founder Harold
ROSSI	Martini's distilling partner
ROTE	Classroom drudgery
ROTOR	Beanie top
ROTOR	Chopper component
ROTTED	Degenerated
ROTTERS	Heels
ROUE	Libertine
ROUEN	Where Joan of Arc met her end
ROUND	Bar buy
ROUTE	Way to go
ROVER	Fido's friend
ROWLEY	Designer Cynthia
ROY	Country musician Clark
ROYCE	Sir Henry who co-founded a car company in 1906
ROZ	Frasier's co-worker
RPM	Tachometer abbr.
RRS	Monopoly quartet: Abbr.
RRS	Monopoly quartet: Abbr.
RSPCA	Org. with a number of British pounds
RSVP	Short answer?
RTE	Numbered rd.
RTES	Hwys.
RTES	Short ways to go?
RUBENS	The Miracles of St. Francis Xavier painter
RUBLE	Coin bearing a two-headed eagle
RUBOUTS	Killings on the street
RUDNER	Comic Rita
RUE	Wish undone
RUE	Wish undone
RUHR	Steel-producing valley
RUING	Contrite
RULED	Like legal pads
RULES	Game box sheet
RUMS	Jamaican exports
RUMSHOP	Caribbean bar
RUNAT	Charge
RUNE	Letter to a Viking
RUNE	Magical character
RUNE	Mysterious character
RUNNERBEANS	Vegetable order at the Ballpark Bar & Grill
RUNUP	Amass, as debt
RUR	Futuristic Capek play
RURAL	Countrified
RUSSET	Rough-skinned apple
RUSSETS	Baking potatoes
